Kernel Name,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Average
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4247.0,4284.714286,4239.571429,4314.857143,4291.428571,4238.0,4252.571429,4276.285714,4294.428571,4341.285714,4278.0142857
"void at::native::<unnamed>::indexSelectLargeIndex<c10::Half, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)",8292.857143,8379.714286,8356.857143,8244.428571,8342.571429,8400.714286,8348.714286,8283.571429,8276.428571,8323.571429,8324.9428573
"void at::native::triu_tril_kernel<c10::Half, int, (bool)1>(at::cuda::detail::TensorInfo<T1, T2>, at::cuda::detail::TensorInfo<T1, T2>, long, long)",5951.0,5862.714286,5889.428571,5989.285714,5877.571429,5915.571429,5873.0,5916.0,5939.0,5889.857143,5910.3428572
"void at::native::<unnamed>::CatArrayBatchedCopy<c10::Half, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",5447.0,5465.285714,5425.142857,5507.714286,5510.0,5460.714286,5436.142857,5484.714286,5454.0,5475.571429,5466.6285715
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7437.0,7347.714286,7462.714286,7354.142857,7400.428571,7380.571429,7346.571429,7352.714286,7416.285714,7372.428571,7387.0571429
"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",4938.285714,4936.285714,5056.285714,5018.142857,5021.285714,5028.142857,4965.428571,4993.857143,5175.0,5073.285714,5020.5999998
"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)",24340.85714,24823.57143,24850.14286,24720.71429,24351.57143,24526.0,24703.85714,24202.42857,24369.71429,24389.28571,24527.814286
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4004.285714,4015.285714,4074.142857,4139.571429,4040.142857,4013.571429,4025.142857,4041.571429,4012.0,4060.285714,4042.6
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",4139.285714,4168.0,4134.428571,4229.714286,4155.857143,4152.571429,4148.428571,4168.0,4155.142857,4188.0,4163.9428571
"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",6841.857143,6844.142857,6832.285714,6769.714286,6709.428571,6894.571429,6856.142857,6840.857143,6809.285714,7016.571429,6841.4857143
