Kernel Name,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Average,kernel id,similar_kernel_ids
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20368.0,20236.0,20517.0,20358.0,20355.0,20559.0,20264.0,20487.0,20350.0,20318.0,20381.2,1,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20321.0,20211.0,20253.0,20284.0,20279.0,20876.0,20674.0,20662.0,20113.0,20200.0,20387.3,2,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",4024.0,3332.0,3361.0,3337.0,3456.0,3318.0,4187.0,3830.0,3387.0,3307.0,3553.9,3,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3574.0,3370.0,3554.0,3364.0,3330.0,3387.0,3360.0,3381.0,3543.0,3320.0,3418.3,4,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20340.0,20284.0,20450.0,20100.0,20236.0,20556.0,20344.0,20325.0,20168.0,20691.0,20349.4,5,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20301.0,20218.0,20274.0,20304.0,20296.0,20454.0,20127.0,20319.0,20325.0,20157.0,20277.5,6,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3858.0,3339.0,3329.0,3321.0,3391.0,3295.0,4116.0,3849.0,3379.0,3273.0,3515.0,7,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3371.0,3361.0,3381.0,3538.0,3327.0,3359.0,3371.0,3369.0,3363.0,3319.0,3375.9,8,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20221.0,20300.0,20288.0,20315.0,20281.0,20963.0,20207.0,20467.0,20294.0,20892.0,20422.8,9,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20248.0,20270.0,20211.0,20222.0,20261.0,20267.0,20690.0,20323.0,20334.0,20224.0,20305.0,10,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3883.0,3332.0,3334.0,3368.0,3461.0,3785.0,3391.0,3990.0,3477.0,3329.0,3535.0,11,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3385.0,3459.0,3362.0,3365.0,3506.0,3547.0,3411.0,3552.0,3371.0,3507.0,3446.5,12,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20295.0,20099.0,20183.0,20325.0,20549.0,20503.0,20924.0,20286.0,20274.0,20678.0,20411.6,13,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20214.0,20282.0,20203.0,20263.0,20456.0,20262.0,20325.0,20321.0,20275.0,20242.0,20284.3,14,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3883.0,3385.0,3542.0,3334.0,3350.0,3779.0,3534.0,3893.0,3441.0,3366.0,3550.7,15,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3376.0,3381.0,3354.0,3548.0,3521.0,3314.0,3516.0,3373.0,3374.0,3332.0,3408.9,16,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20244.0,20279.0,20317.0,20473.0,20886.0,20438.0,20660.0,20299.0,20432.0,20628.0,20465.6,17,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20235.0,20316.0,20280.0,20258.0,20225.0,20244.0,20293.0,20298.0,20358.0,20198.0,20270.5,18,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",4038.0,3344.0,3365.0,3335.0,3392.0,3780.0,3333.0,3855.0,3665.0,3296.0,3540.3,19,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3371.0,3371.0,3557.0,3369.0,3347.0,3326.0,3368.0,3375.0,3369.0,3324.0,3377.7,20,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20353.0,20342.0,20271.0,20375.0,20634.0,20253.0,20810.0,20266.0,20241.0,21015.0,20456.0,21,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20206.0,20470.0,20250.0,20248.0,20294.0,20352.0,20328.0,20093.0,20395.0,20137.0,20277.3,22,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3841.0,3328.0,3395.0,3342.0,3294.0,3893.0,3363.0,3997.0,3331.0,3278.0,3506.2,23,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3369.0,3377.0,3459.0,3397.0,3438.0,3327.0,3433.0,3386.0,3363.0,3323.0,3387.2,24,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20232.0,20270.0,20288.0,20234.0,20798.0,20290.0,20674.0,20348.0,20313.0,20604.0,20405.1,25,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20301.0,20263.0,20316.0,20120.0,20317.0,20480.0,20306.0,20301.0,20269.0,20232.0,20290.5,26,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3960.0,3541.0,3344.0,3545.0,3345.0,3826.0,3868.0,4035.0,3546.0,3338.0,3634.8,27,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3510.0,3584.0,3422.0,3461.0,3334.0,3325.0,3449.0,3391.0,3424.0,3335.0,3423.5,28,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20283.0,20239.0,20384.0,20647.0,20664.0,20307.0,20095.0,20477.0,20336.0,20883.0,20431.5,29,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",20297.0,20615.0,20273.0,20408.0,20266.0,20088.0,20291.0,20239.0,20090.0,20099.0,20266.6,30,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3929.0,3384.0,3338.0,3459.0,3354.0,3929.0,3878.0,4044.0,3386.0,3323.0,3602.4,31,3
