Kernel Name,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Average,kernel id,similar_kernel_ids
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",36957.0,37279.0,37075.0,37065.0,36988.0,36885.0,37292.0,37046.0,36861.0,37029.0,37047.7,1,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",36912.0,36716.0,36799.0,36853.0,36960.0,36896.0,36910.0,36932.0,37070.0,36992.0,36904.0,2,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3362.0,3500.0,3837.0,3828.0,3983.0,3300.0,3362.0,3404.0,3418.0,3337.0,3533.1,3,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3371.0,3373.0,3465.0,3597.0,3370.0,3467.0,3360.0,3334.0,3319.0,3362.0,3401.8,4,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",36878.0,36945.0,37017.0,36835.0,36901.0,36928.0,36864.0,36916.0,36997.0,36892.0,36917.3,5,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",37272.0,37070.0,36955.0,36929.0,37295.0,37091.0,36840.0,36837.0,36937.0,37016.0,37024.2,6,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3331.0,3333.0,3991.0,4234.0,3334.0,3286.0,3522.0,3298.0,3498.0,3480.0,3530.7,7,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3399.0,3553.0,3426.0,3364.0,3398.0,3482.0,3511.0,3337.0,3322.0,3368.0,3416.0,8,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",36935.0,37043.0,36936.0,37061.0,37345.0,36870.0,36844.0,37076.0,36895.0,37426.0,37043.1,9,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",36880.0,36899.0,36960.0,37410.0,36839.0,36881.0,37325.0,36939.0,37281.0,37061.0,37047.5,10,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3570.0,3388.0,4128.0,3445.0,3513.0,3445.0,3430.0,3372.0,3315.0,3343.0,3494.9,11,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3380.0,3387.0,3384.0,3382.0,3379.0,3326.0,3373.0,3476.0,3359.0,3556.0,3400.2,12,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",36955.0,37572.0,36987.0,37349.0,37145.0,36954.0,37202.0,37577.0,37019.0,37548.0,37230.8,13,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",37010.0,36976.0,37178.0,36868.0,36826.0,36740.0,36873.0,37070.0,37355.0,36918.0,36981.4,14,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3453.0,3556.0,3556.0,3341.0,3875.0,3367.0,3341.0,3373.0,3282.0,3352.0,3449.6,15,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3412.0,3489.0,3580.0,3591.0,3380.0,3369.0,3467.0,3340.0,3406.0,3564.0,3459.8,16,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",36928.0,37378.0,37372.0,37367.0,37082.0,37439.0,37304.0,37274.0,37445.0,37709.0,37329.8,17,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",37398.0,37404.0,36937.0,36856.0,37302.0,36810.0,37053.0,36934.0,36939.0,37195.0,37082.8,18,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3568.0,3332.0,3340.0,4231.0,4001.0,3474.0,3333.0,3352.0,3281.0,3435.0,3534.7,19,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3405.0,3371.0,3383.0,3371.0,3423.0,3317.0,3587.0,3366.0,3566.0,3372.0,3416.1,20,3
